id;properties.prefLabel.fi;properties.prefLabel.sv;properties.prefLabel.en;properties.altLabel.fi;properties.altLabel.sv;properties.altLabel.en;properties.avoidableLabel.fi;properties.avoidableLabel.sv;properties.avoidableLabel.en;properties.deprecatedLabel.fi;properties.deprecatedLabel.sv;properties.deprecatedLabel.en;properties.definition.fi;properties.definition.sv;properties.definition.en;properties.note.fi;properties.note.sv;properties.note.en;properties.scopeNote.fi;properties.scopeNote.sv;properties.scopeNote.en;references.status.id;references.broader.id;references.related.id;references.partOf.id
ID;Suositettava termi;Rekommenderad term;Preferred label;Synonyymi;Synonym;Synonym;Vältettävä termi;Term som bör undvikas;Avoidable label;Hylättävä termi;Avrådd term;Deprecated label;Määritelmä;Definition;Definition;Huomautus;Anmärkning;Note;Käyttöala;Användningsområde;Scope note;Tila;Hierarkkinen yläkäsite;Assosiatiivinen suhde;Koostumussuhteinen yläkäsite
33554c74-3509-4c4c-957f-e7c29885a9b9;Terveydenhuollon tiedonhallinnan sanasto;;;;;;;;;;;;;;;;;;;;;;;;
ea67aa57-5ad4-42f7-87d6-9477da9d18c4;apuväline;hjälpmedel;;;;;;;;;;;tuote, laite, väline tai eläin, joka edistää tai ylläpitää toimintarajoitteisen henkilön toimintakykyä ja osallistumista;produkt, apparat, redskap eller djur som främjar och upprätthåller funktionsförmågan och deltagandet hos en person med funktionsbegränsning;;Apuvälineitä voivat olla erityisvalmisteiset tai yleisesti saatavilla olevat välineet tai tekniset järjestelmät, jotka ehkäisevät, korvaavat ja lieventävät toimintarajoitteisuudesta koituvaa haittaa. Apuvälineiksi voidaan lukea myös ne välineet, joita omaiset tai avustajat käyttävät toimintarajoitteisen henkilön auttamiseen.|Opaskoirat katsotaan näkövammaisten apuvälineiksi ja avustajakoirat vammaisten henkilöiden apuvälineiksi.|Toimintarajoitteisia henkilöitä voivat olla esimerkiksi tilapäisesti vammautuneet henkilöt, vajaakuntoiset, sokeat, liikuntakyvyttömät ja vaikeasti vammaiset.;Hjälpmedlen kan vara specialtillverkade eller allmänt tillgängliga anordningar eller tekniska system som förebygger, kompenserar och lindrar den olägenhet som funktionsbegränsningen medför. Som hjälpmedel kan också betraktas anordningar som anhöriga och assistenter använder för att hjälpa en person med funktionsbegränsning.|Ledarhundar betraktas som hjälpmedel för personer med synskada och assistenthundar som hjälpmedel för personer med funktionsnedsättning.|Personer med funktionsbegränsning är till exempel personer som har någon övergående skada, personer med nedsatt funktionsförmåga, blinda, rörelsehindrade och personer med svår funktionsnedsättning.;;;;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;33554c74-3509-4c4c-957f-e7c29885a9b9;;
cf984efd-80cb-4dd4-8cdf-7bacd92a5520;asiakastieto;kunduppgift;;;> klientuppgift (inom socialvården);;;;;;;;sosiaali- tai terveydenhuollon asiakasta tai terveydenhuollon potilasta koskeva henkilötieto, joka on sosiaali- tai terveydenhuollon palvelunantajan hallinnoimaa;personuppgift gällande en kund inom social- eller hälsovården eller en patient inom hälso- och sjukvården, vilken administreras av en tjänstetillhandahållare inom social- eller hälsovården;;;;;Sosiaali- ja terveydenhuolto;Social- och hälsovård;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;33554c74-3509-4c4c-957f-e7c29885a9b9;f9727df6-2de5-499c-8b2b-5b2a118317fc|ae757a93-6bc7-4dd9-adba-2642eeea27fb|606b01c6-89ef-4011-88cd-4a8499a3b12e;
fb2eced2-b34b-432c-b173-3be5f1313e54;potilastieto;patientuppgift;;;patientdata;;;;;;;;potilasasiakirjaan ja muuhun terveydenhuollossa laadittuun asiakirjaan sisältyvä terveydenhuollon asiakkaan tai potilaan terveydentilaa tai toimintakykyä tai tämän saamaa terveyspalvelua koskeva asiakastieto;kunduppgift om patientens eller kundens hälsotillstånd eller funktionsförmåga eller om hälso- och sjukvårdstjänst som patienten eller kunden fått som ingår i en journalhandling eller en annan handling som upprättats inom hälso- och sjukvården;;Potilastieto on salassa pidettävää.;Patientuppgifter är sekretessbelagda.;;;;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;cf984efd-80cb-4dd4-8cdf-7bacd92a5520;ae757a93-6bc7-4dd9-adba-2642eeea27fb|f9727df6-2de5-499c-8b2b-5b2a118317fc;f4a8544d-3a2e-468f-8ce8-1becbb304cfc|5b584098-3c00-49d5-9132-8be37f5bc316|ad1f7a55-2d29-4bb4-8b41-b757cbaa98ae|e5c1bb0d-ff67-4f1b-8a85-68c414e0a2e2|7597fd23-4e45-4a33-89c8-4e877cc987f4|10b6f2a3-46ee-4bef-91f3-318bf0b99b1f|65a192d1-2cb3-4f66-b465-f5d275aa6308
325afdf4-0fe4-4a6c-a5af-a4acc4c49b2e;asiakirja;handling;;;dokument;;;;;;;;tallenne, jolla on oikeudellista arvoa ja joka on laadittu tai vastaanotettu jonkin organisaation tai yksittäisen henkilön toiminnan yhteydessä tai toimintaa varten;upptagning, som har ett juridiskt värde och som har utarbetats eller tagits emot i samband med eller för en organisations eller en enskild persons verksamhet;;Asiakirja voi sisältää kirjoitettua tekstiä, kuvaa tai ääntä, ja se voidaan tallentaa sähköisesti tai paperimuodossa.;En handling kan innehålla skriven text, bilder eller ljud, och den kan lagras i elektroniskt format eller pappersformat.;;;;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;33554c74-3509-4c4c-957f-e7c29885a9b9;;
e87e271a-556e-4525-ae29-605e9fce8da5;asiakasasiakirja;kundhandling;;;> klienthandling (inom socialvården);;;;;;;;asiakirja, joka on laadittu tai vastaanotettu asiakkaan sosiaali- tai terveyspalvelujen tarpeen arviointia tai tarvittavien palvelujen järjestämistä tai toteuttamista varten tai niiden yhteydessä tai joka sisältää tietoa niistä;handling, som har upprättats eller tagits emot för bedömning av kundens behov av social- och hälsovårdstjänster eller ordnande och genomförande av behövliga tjänster eller i samband med dem eller som innehåller uppgifter om dem;;;;;Sosiaali- ja terveydenhuolto;Social- och hälsovård;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;325afdf4-0fe4-4a6c-a5af-a4acc4c49b2e;;
f4a8544d-3a2e-468f-8ce8-1becbb304cfc;potilasasiakirja;journalhandling;;;;;;patientdokument;;;;;terveydenhuollon asiakasta tai potilasta koskeva asiakasasiakirja;kundhandling som gäller en patient eller kund inom hälso- och sjukvården;;Potilasasiakirjoista ja niiden käsittelystä säädetään mm. sosiaali- ja terveydenhuollon asiakastietojen käsittelystä annetussa laissa (703/2023) ja sosiaali- ja terveysministeriön asetuksessa potilasasiakirjoista (298/2009).|Potilasasiakirjoihin kuuluvat muun muassa ammattihenkilöiden palvelutapahtumista kirjaamat merkinnät, lääkemääräykset ja muut reseptikeskukseen tallennettavat lääkehoitoa koskevat merkinnät, diagnostiikkaan liittyvät tallenteet ja niihin liittyvät lausunnot ja muut potilaan terveyspalvelujen toteuttamiseen liittyvät kuva-, ääni- ja videotallenteet, potilaan terveyspalveluiden järjestämiseen liittyvät asiakirjat sekä terveydenhuoltoon muualta saapuneet asiakirjat.;Bestämmelser om journalhandlingar och behandlingen av dem finns bland annat i lagen om behandling av kunduppgifter inom social- och hälsovården (703/2023) och social- och hälsovårdsministeriets förordning om journalhandlingar (298/2009).|Till journalhandlingar hör bland annat anteckningar som görs av yrkesutbildade personer om servicehändelser, recept och andra anteckningar om läkemedelsbehandling som lagras i Receptcentret, upptagningar förknippade med diagnostik och utlåtanden som anknyter till dem och andra bild-, ljud- och videoupptagningar förknippade med hälso- och sjukvårdstjänster för patienten, handlingar förknippade med ordnande av hälso- och sjukvårdstjänster för patienten samt andra handlingar som har inkommit till hälso- och sjukvården.;;;;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;e87e271a-556e-4525-ae29-605e9fce8da5;ae757a93-6bc7-4dd9-adba-2642eeea27fb|f9727df6-2de5-499c-8b2b-5b2a118317fc;
a5cfcf7b-ff37-439b-8bb4-d73942d0497a;potilaskertomus;patientjournal;;;;;;;;;;;terveydenhuollon ammattihenkilön kirjaamien tai laitteiden tuottamien potilasasiakirjamerkintöjen aikajärjestyksessä etenevä kokonaisuus;helhet i kronologisk form av anteckningar i journalhandlingar som en yrkesutbildad person inom hälso- och sjukvården gör eller en apparat producerar;;Jokaisesta terveydenhuollon asiakkaasta tai potilaasta tulee laatia potilaskertomus. Se voi koostua eri ammattiryhmien tekemistä tai laitteiden tuottamista, erilaisille kirjausalustoille tai tiedostoihin tallentuvista merkinnöistä. Potilaskertomukseen kuuluvat myös muut hoidon järjestämisessä ja toteuttamisessa syntyvät sähköiset ja paperiset asiakirjat, kuten lähetteet, laboratorio- ja kuvantamispyynnöt ja -lausunnot.;En patientjournal ska upprättas om varje patient eller kund inom hälso- och sjukvården. Den kan bestå av anteckningar som har gjorts av olika yrkesgrupper eller producerats av apparater och som lagrats på olika dokumentationsunderlag eller i filer. Till en patientjournal hör också andra elektroniska handlingar och handlingar i pappersform som uppkommer vid ordnande och genomförande av vård, såsom remisser, begäran och utlåtanden om laboratorie- och avbildningsundersökningar.;;;;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;f4a8544d-3a2e-468f-8ce8-1becbb304cfc;11bab8bd-ca36-40ef-b1f2-fcce285a01e5|d04e1f08-aaf7-4151-a346-94ee4ed2c2fc;
534c160d-1b36-43e2-8994-2f88d07db44a;diagnoosi;diagnos;;;;;;;;;;;lääkärin tai hammaslääkärin asettama, lääketieteelliseen tietoon perustuva terveysongelman määrite;en på medicinsk kunskap baserad definition av ett hälsoproblem, vilken fastställs av en läkare eller tandläkare;;;;;;;;66d50c5b-a250-4401-ba9c-fb772f6f27d8;33554c74-3509-4c4c-957f-e7c29885a9b9;5b12b9c4-532d-4ede-9525-0995069bf8a4;
