unit_id	section	source_text_en	source_text_sha256	row	column	paragraph	status	target_fi
S4A-2026-000	document_title	Supportive and Palliative Care Indicators Tool (SPICT-4ALL-……)	e0d92d4423ed4dd44c3905348ccb15531f9d0d8635b6d9e3e6aed8f7d5977a79				AUTHORITY_DECISION_REQUIRED	
S4A-2026-001	intro	The SPICT helps us look for people who have life shortening health conditions and are less well. These people need more help and care now, and a plan for care in the future.	073f41ea2df0103ff84d71ac3bf63cdbc88ed4ce579604fbbac10aea11652aac	1	0	0	UNTRANSLATED	
S4A-2026-002	general_indicators	Does this person have signs of poor health or health problems that are getting worse?	4e2ea44a5cb6778dfe05cadc1c17810b91e4e245ac7d2d9f0eb869b523fb452d	3	0	0	UNTRANSLATED	
S4A-2026-003	general_indicators	Urgent or emergency hospital admission(s) or visits.	e0833c16f94535ce3009a1737201e39f1b822baa1447edbc35b6f8a37a6d756a	5	0	0	UNTRANSLATED	
S4A-2026-004	general_indicators	"Less able to manage usual activities; not as well as they used to be.
(Person often stays in bed or in a chair for more than half the day.)"	e2a76846cca5d053af8161133c81edddbe40529b37fde2bfde986af56ce60c3c	7	0	0	UNTRANSLATED	
S4A-2026-005	general_indicators	Needs more help and care from others due to increasing physical and/or mental health problems.	fdcefa0555355b1ced3795bd3b6068b5a351d4a7f2498a9d6b941094a3606f21	9	0	0	UNTRANSLATED	
S4A-2026-006	general_indicators	Person’s carer needs more help and support.	ecdb4474294eb1f6797305ec921a2f58658b85ca3875d9e639de4ccb3e322601	9	0	1	UNTRANSLATED	
S4A-2026-007	general_indicators	Has clearly lost weight over the last few months; or stays too thin.	7181dd9f28e654ec269bda2ff32da7c18405eca65e4969279686e38741064214	11	0	0	UNTRANSLATED	
S4A-2026-008	general_indicators	Has troublesome symptoms most of the time despite good treatment of their health problems.	4001d97a18450bfb36e8eaf191283f8cceccbbe86bbd1d331d9e74621a7d8eb7	13	0	0	UNTRANSLATED	
S4A-2026-009	general_indicators	The person (or family) asks for palliative care; chooses to reduce, stop or not have treatment; or wishes to focus on quality of life.	792e53797023341c64f79e3598752320b23375c8bc346e14dd6906e003362f29	15	0	0	UNTRANSLATED	
