unit_id	source_en	synthesis_fi	clinical_reviewer	language_reviewer	methodology_reviewer	decision	approved_fi	issues_remaining	date	notes
S4A-2026-000	Supportive and Palliative Care Indicators Tool (SPICT-4ALL-……)					PENDING				
S4A-2026-001	The SPICT helps us look for people who have life shortening health conditions and are less well. These people need more help and care now, and a plan for care in the future.					PENDING				
S4A-2026-002	Does this person have signs of poor health or health problems that are getting worse?					PENDING				
S4A-2026-003	Urgent or emergency hospital admission(s) or visits.					PENDING				
S4A-2026-004	"Less able to manage usual activities; not as well as they used to be.
(Person often stays in bed or in a chair for more than half the day.)"					PENDING				
S4A-2026-005	Needs more help and care from others due to increasing physical and/or mental health problems.					PENDING				
S4A-2026-006	Person’s carer needs more help and support.					PENDING				
S4A-2026-007	Has clearly lost weight over the last few months; or stays too thin.					PENDING				
S4A-2026-008	Has troublesome symptoms most of the time despite good treatment of their health problems.					PENDING				
S4A-2026-009	The person (or family) asks for palliative care; chooses to reduce, stop or not have treatment; or wishes to focus on quality of life.					PENDING				
S4A-2026-010	Does this person have any of these health problems?					PENDING				
S4A-2026-011	Cancer					PENDING				
S4A-2026-012	Heart or circulation problems					PENDING				
S4A-2026-013	Kidney problems					PENDING				
S4A-2026-014	Less able to manage usual activities and health is getting poorer.					PENDING				
S4A-2026-015	Heart failure or heart blood vessel disease. Short of breath or has chest pain when resting, moving or walking a few steps.					PENDING				
S4A-2026-016	Kidneys are not working well; general health is getting poorer.					PENDING				
S4A-2026-017	Not well enough for cancer treatment or treatment is to help with symptoms.					PENDING				
S4A-2026-018	Leg problems due to poor blood circulation; surgery is not possible.					PENDING				
S4A-2026-019	Stopping kidney dialysis or choosing palliative care instead of starting dialysis.					PENDING				
S4A-2026-020	Stopping or not starting dialysis					PENDING				
S4A-2026-021	Dementia or frailty					PENDING				
S4A-2026-022	Respiratory problems					PENDING				
S4A-2026-023	Liver problems					PENDING				
S4A-2026-024	Unable to dress, walk or eat without help.					PENDING				
S4A-2026-025	More unwell with long term lung problems. Short of breath when resting, moving or walking a few steps even when the chest is at its best.					PENDING				
S4A-2026-026	Worsening liver problems in the past year with complications like:					PENDING				
S4A-2026-027	fluid building up in the belly					PENDING				
S4A-2026-028	being confused at times					PENDING				
S4A-2026-029	kidneys not working well					PENDING				
S4A-2026-030	infections					PENDING				
S4A-2026-031	bleeding from the gullet					PENDING				
S4A-2026-032	Eating and drinking less; difficulty with swallowing.					PENDING				
S4A-2026-033	Needs to use oxygen for much of the day and night.					PENDING				
S4A-2026-034	Has poor control of bladder and bowels.					PENDING				
S4A-2026-035	Has needed treatment with a breathing machine in hospital.					PENDING				
S4A-2026-036	Not able to communicate by speaking; not responding much to other people.					PENDING				
S4A-2026-037	Frequent falls; fractured femur.					PENDING				
S4A-2026-038	Frequent infections; pneumonia					PENDING				
S4A-2026-039	Nervous system problems					PENDING				
S4A-2026-040	Other conditions					PENDING				
S4A-2026-041	Physical and mental health are getting worse.					PENDING				
S4A-2026-042	People who are less well with other life shortening physical or mental illnesses or health conditions. There is no treatment available or it will not work well.					PENDING				
S4A-2026-043	More problems with speaking and communicating; swallowing is getting worse.					PENDING				
S4A-2026-044	What we can do to help this person and their family.					PENDING				
S4A-2026-045	Chest infections or pneumonia; breathing problems.					PENDING				
S4A-2026-046	Start talking with the person and their family or carer about help needed now and why making plans is important in case things change.					PENDING				
S4A-2026-047	Ongoing disability with increasing physical and/or mental health problems after one or more strokes.					PENDING				
S4A-2026-048	Ask for help and advice from a nurse, doctor, social worker or other staff if the person or family needs a review of their care and support.					PENDING				
S4A-2026-049	We look at the person’s medicines and other treatments to give the best care. Holistic care includes symptoms, emotional, social, functional, financial, spiritual, cultural problems.					PENDING				
S4A-2026-050	Ask for specialist help if symptoms or problems are difficult to manage.					PENDING				
S4A-2026-051	Care plans are shared with staff who need to see them and kept up to date.					PENDING				
S4A-2026-052	SPICT – 4ALL 2026					PENDING				
